event_id,event_name,student_id,club_id,attendance_status,checkin_time
EV365,Teambuilding,SV2038,CLB_AMNHAC,Late,
EV366,Ngay Hoi Clb,SV2055,CLB_KY_NANG_MEM,Present,
EV367,Teambuilding,SV2014,CLB_KN_MEM,Present,
EV368,Hoi Thao Dinh Huong,SV2056,CLB_KY_NANG_MEM,Absent,
EV369,Hoi Thao Dinh Huong,SV2044,CLB_KN_MEM,Absent,
EV370,Ngay Hoi Clb,SV2071,CLB_TN,Absent,2024-07-03 18:42:00
EV371,Ngay Hoi Clb,SV2055,CLB_AM_NHAC,,
EV372,Chuoi Hoi Thao Ky Nang,SV2078,CLB_THE_THAO,Late,
EV373,Hoi Thao Dinh Huong,SV2000,CLB_TN,Late,
EV374,Hoi Thao Dinh Huong,SV2062,CLB_THE_THAO,Present,
EV375,Teambuilding,SV2059,CLB_TN,Present,2024-08-04 09:11:00
EV376,Ngay Hoi Clb,SV2023,CLB_AM_NHAC,,
EV377,Chuoi Hoi Thao Ky Nang,SV2051,CLB_AM_NHAC,Present,
EV378,Ngay Hoi Clb,SV2014,CLB_AMNHAC,Absent,
EV379,Chuoi Hoi Thao Ky Nang,SV2026,CLB_AMNHAC,Late,
EV380,Teambuilding,SV2075,CLB_KY_NANG_MEM,Late,2024-07-04 11:45:00
EV381,Teambuilding,SV2010,CLB_THE_THAO,,
EV382,Chuoi Hoi Thao Ky Nang,SV2074,CLB_KN_MEM,Present,
EV383,Teambuilding,SV2062,CLB_AM_NHAC,Late,
EV384,Teambuilding,SV2022,CLB_KN_MEM,Absent,
EV385,Hoi Thao Dinh Huong,SV2074,CLB_THE_THAO,Present,
EV386,Hoi Thao Dinh Huong,SV2031,CLB_TN,Late,
EV387,Teambuilding,SV2001,CLB_TN,Present,
EV388,Chuoi Hoi Thao Ky Nang,SV2038,CLB_AMNHAC,Absent,
EV389,Chuoi Hoi Thao Ky Nang,SV2046,CLB_THE_THAO,Absent,
EV390,Hoi Thao Dinh Huong,SV2025,CLB_AMNHAC,Absent,
EV391,Ngay Hoi Clb,SV2020,CLB_THE_THAO,Present,
EV392,Chuoi Hoi Thao Ky Nang,SV2073,CLB_AMNHAC,,
EV393,Chuoi Hoi Thao Ky Nang,SV2016,CLB_THE_THAO,Present,
EV394,Teambuilding,SV2002,CLB_AM_NHAC,Late,
EV395,Teambuilding,SV2066,CLB_KN_MEM,Present,
EV396,Teambuilding,SV2070,CLB_AM_NHAC,Absent,2024-05-03 08:37:00
EV397,Hoi Thao Dinh Huong,SV2075,CLB_AMNHAC,Present,2024-04-04 11:22:00
EV398,Ngay Hoi Clb,SV2035,CLB_KN_MEM,Present,
EV399,Ngay Hoi Clb,SV2044,CLB_THE_THAO,Absent,
EV400,Chuoi Hoi Thao Ky Nang,SV2033,CLB_TN,,2024-10-04 17:31:00
EV401,Ngay Hoi Clb,SV2006,CLB_KN_MEM,Late,
EV402,Hoi Thao Dinh Huong,SV2023,CLB_KY_NANG_MEM,Absent,
EV403,Teambuilding,SV2011,CLB_THE_THAO,Present,
EV404,Teambuilding,SV2070,CLB_AMNHAC,Absent,
EV405,Teambuilding,SV2014,CLB_TN,Absent,
EV406,Ngay Hoi Clb,SV2057,CLB_AMNHAC,Present,2024-10-04 16:23:00
EV407,Teambuilding,SV2066,CLB_AM_NHAC,Present,
EV408,Chuoi Hoi Thao Ky Nang,SV2039,CLB_KY_NANG_MEM,Absent,
EV409,Teambuilding,SV2035,CLB_THE_THAO,Present,
EV410,Ngay Hoi Clb,SV2046,CLB_KN_MEM,Late,2024-03-04 09:54:00
EV411,Teambuilding,SV2035,CLB_AMNHAC,Absent,
EV412,Chuoi Hoi Thao Ky Nang,SV2031,CLB_TN,Present,
EV413,Hoi Thao Dinh Huong,SV2010,CLB_KY_NANG_MEM,Late,
EV414,Hoi Thao Dinh Huong,SV2032,CLB_TN,Present,
EV415,Chuoi Hoi Thao Ky Nang,SV2015,CLB_AMNHAC,Present,
EV416,Ngay Hoi Clb,SV2044,CLB_AM_NHAC,Present,
EV417,Ngay Hoi Clb,SV2020,CLB_THE_THAO,Present,
EV418,Teambuilding,SV2019,CLB_THE_THAO,Present,
EV419,Teambuilding,SV2012,CLB_TN,Absent,
EV420,Chuoi Hoi Thao Ky Nang,SV2015,CLB_AMNHAC,Absent,
EV421,Hoi Thao Dinh Huong,SV2045,CLB_AMNHAC,,2024-12-03 18:01:00
EV422,Chuoi Hoi Thao Ky Nang,SV2079,CLB_THE_THAO,Late,
EV423,Chuoi Hoi Thao Ky Nang,SV2048,CLB_AMNHAC,Absent,2024-11-03 16:33:00
EV424,Chuoi Hoi Thao Ky Nang,SV2041,CLB_AMNHAC,Absent,
EV425,Chuoi Hoi Thao Ky Nang,SV2043,CLB_TN,Late,
EV426,Hoi Thao Dinh Huong,SV2029,CLB_AMNHAC,Present,2024-07-03 13:29:00
EV427,Chuoi Hoi Thao Ky Nang,SV2031,CLB_AMNHAC,Absent,
EV428,Hoi Thao Dinh Huong,SV2002,CLB_TN,Absent,
EV429,Hoi Thao Dinh Huong,SV2038,CLB_AMNHAC,Absent,
EV430,Ngay Hoi Clb,SV2048,CLB_THE_THAO,Absent,
EV431,Teambuilding,SV2065,CLB_THE_THAO,Late,
EV432,Chuoi Hoi Thao Ky Nang,SV2043,CLB_AMNHAC,Absent,2024-05-04 17:32:00
EV433,Chuoi Hoi Thao Ky Nang,SV2073,CLB_THE_THAO,Late,
EV434,Chuoi Hoi Thao Ky Nang,SV2012,CLB_THE_THAO,Present,2024-04-03 17:58:00
EV435,Ngay Hoi Clb,SV2067,CLB_THE_THAO,Absent,
EV436,Ngay Hoi Clb,SV2004,CLB_AMNHAC,,
EV437,Ngay Hoi Clb,SV2047,CLB_KY_NANG_MEM,Present,2024-05-04 11:10:00
EV438,Chuoi Hoi Thao Ky Nang,SV2014,CLB_THE_THAO,Absent,2024-10-03 15:28:00
EV439,Chuoi Hoi Thao Ky Nang,SV2075,CLB_TN,Late,
EV440,Hoi Thao Dinh Huong,SV2019,CLB_KY_NANG_MEM,,
EV441,Chuoi Hoi Thao Ky Nang,SV2076,CLB_TN,Late,
EV442,Teambuilding,SV2013,CLB_AMNHAC,,
EV443,Chuoi Hoi Thao Ky Nang,SV2047,CLB_AM_NHAC,Present,
EV444,Chuoi Hoi Thao Ky Nang,SV2066,CLB_TN,Present,
EV445,Ngay Hoi Clb,SV2075,CLB_KN_MEM,Present,
EV446,Teambuilding,SV2069,CLB_THE_THAO,Absent,
EV447,Teambuilding,SV2007,CLB_THE_THAO,Absent,2024-09-04 17:08:00
EV448,Ngay Hoi Clb,SV2019,CLB_KY_NANG_MEM,Present,
EV449,Teambuilding,SV2024,CLB_AM_NHAC,Late,2024-09-04 09:28:00
EV450,Hoi Thao Dinh Huong,SV2042,CLB_AMNHAC,Absent,
EV451,Chuoi Hoi Thao Ky Nang,SV2017,CLB_TN,,2024-04-03 09:25:00
EV452,Ngay Hoi Clb,SV2079,CLB_AM_NHAC,Absent,2024-05-03 11:13:00
EV453,Ngay Hoi Clb,SV2035,CLB_THE_THAO,Absent,
EV454,Chuoi Hoi Thao Ky Nang,SV2005,CLB_AMNHAC,Late,
EV455,Hoi Thao Dinh Huong,SV2044,CLB_TN,Late,
EV456,Hoi Thao Dinh Huong,SV2005,CLB_KY_NANG_MEM,Absent,
EV457,Ngay Hoi Clb,SV2037,CLB_THE_THAO,Present,2024-11-03 10:01:00
EV458,Chuoi Hoi Thao Ky Nang,SV2051,CLB_KY_NANG_MEM,Late,2024-09-04 13:15:00
EV459,Chuoi Hoi Thao Ky Nang,SV2027,CLB_THE_THAO,Absent,2024-11-04 13:48:00
EV460,Chuoi Hoi Thao Ky Nang,SV2077,CLB_AM_NHAC,Absent,2024-08-04 08:38:00
EV461,Chuoi Hoi Thao Ky Nang,SV2050,CLB_THE_THAO,,
EV462,Hoi Thao Dinh Huong,SV2015,CLB_KY_NANG_MEM,Present,
EV463,Teambuilding,SV2064,CLB_TN,Absent,
EV464,Ngay Hoi Clb,SV2044,CLB_KY_NANG_MEM,Present,
EV465,Chuoi Hoi Thao Ky Nang,SV2020,CLB_TN,Present,2024-07-03 18:24:00
EV466,Chuoi Hoi Thao Ky Nang,SV2046,CLB_TN,Absent,
EV467,Chuoi Hoi Thao Ky Nang,SV2021,CLB_THE_THAO,Late,
EV468,Hoi Thao Dinh Huong,SV2016,CLB_KN_MEM,Absent,
EV469,Teambuilding,SV2071,CLB_THE_THAO,Late,
EV470,Chuoi Hoi Thao Ky Nang,SV2055,CLB_AMNHAC,Present,
EV471,Hoi Thao Dinh Huong,SV2067,CLB_AM_NHAC,Absent,
EV472,Teambuilding,SV2005,CLB_AMNHAC,Present,
EV473,Teambuilding,SV2071,CLB_TN,Absent,
EV474,Teambuilding,SV2036,CLB_AM_NHAC,Absent,
EV475,Teambuilding,SV2023,CLB_TN,Present,
EV476,Teambuilding,SV2035,CLB_TN,Late,
EV477,Hoi Thao Dinh Huong,SV2011,CLB_KN_MEM,Present,
EV478,Ngay Hoi Clb,SV2003,CLB_AMNHAC,Late,
EV479,Ngay Hoi Clb,SV2000,CLB_THE_THAO,Absent,
EV480,Chuoi Hoi Thao Ky Nang,SV2018,CLB_THE_THAO,Absent,
EV481,Hoi Thao Dinh Huong,SV2005,CLB_KN_MEM,Present,
EV482,Chuoi Hoi Thao Ky Nang,SV2079,CLB_AM_NHAC,Absent,
EV483,Ngay Hoi Clb,SV2061,CLB_TN,,
EV484,Chuoi Hoi Thao Ky Nang,SV2004,CLB_AMNHAC,Absent,
EV485,Teambuilding,SV2067,CLB_THE_THAO,Present,2024-09-04 12:57:00
EV486,Chuoi Hoi Thao Ky Nang,SV2037,CLB_AMNHAC,Present,
EV487,Ngay Hoi Clb,SV2031,CLB_AM_NHAC,Present,
EV488,Teambuilding,SV2073,CLB_TN,Late,
EV489,Ngay Hoi Clb,SV2070,CLB_THE_THAO,Late,
EV490,Hoi Thao Dinh Huong,SV2057,CLB_AM_NHAC,Absent,
EV491,Chuoi Hoi Thao Ky Nang,SV2026,CLB_AM_NHAC,Absent,
EV492,Chuoi Hoi Thao Ky Nang,SV2040,CLB_TN,Present,
EV493,Chuoi Hoi Thao Ky Nang,SV2016,CLB_AMNHAC,Absent,2024-08-03 09:55:00
EV494,Hoi Thao Dinh Huong,SV2031,CLB_AMNHAC,Present,2024-05-03 18:23:00
EV495,Hoi Thao Dinh Huong,SV2013,CLB_KY_NANG_MEM,Present,
EV496,Hoi Thao Dinh Huong,SV2078,CLB_KN_MEM,Late,2024-04-04 12:07:00
EV497,Ngay Hoi Clb,SV2020,CLB_KY_NANG_MEM,Late,
EV498,Chuoi Hoi Thao Ky Nang,SV2001,CLB_KN_MEM,Present,
EV499,Ngay Hoi Clb,SV2009,CLB_AM_NHAC,Absent,
